test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,global information,13,12,1,2,185.91,358.68,650.54,329.73,420.61,530.43,650.75,142.98,0,0,0,0,0.2,158.29,158.29,158.29,158.34,158.34,158.34,158.34,0.02,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,featured_9_leagues,13,13,0,2.2,5.45,17.56,146.94,6.51,7.5,7.96,146.94,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,daily_matches,13,13,0,2.2,4.97,6.56,9.93,6.26,7.2,8.76,9.94,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,league_sponsors,13,13,0,2.2,4.99,6.23,9.06,5.91,6.53,7.04,9.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,news_slider,13,13,0,2.2,4.41,5.59,8.13,5.51,6.14,6.63,8.13,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,app_boot_http,00:00:06,stories,13,13,0,2.2,4.41,5.4,6.89,5.39,5.7,6.23,6.89,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,live_hub_ws,00:00:06,global information,3,2,1,0.3,1504.71,2152.18,2799.64,1505.28,2801.66,2801.66,2801.66,647.94,0,0,0,0,0.2,158.24,158.24,158.24,158.34,158.34,158.34,158.34,0.04,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,live_hub_ws,00:00:06,hub_connect,3,3,0,0.5,22.58,66.52,151.46,25.52,25.52,151.55,151.55,60.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
